Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000315200,-0.08000,
,,,-0.00000314800,0.00,
,,,-0.00000314400,0.00,
,,,-0.00000314000,0.00,
,,,-0.00000313600,0.00,
,,,-0.00000313200,0.00,
,,,-0.00000312800,0.00,
,,,-0.00000312400,0.08000,
,,,-0.00000312000,0.08000,
,,,-0.00000311600,0.16000,
,,,-0.00000311200,0.16000,
,,,-0.00000310800,0.16000,
,,,-0.00000310400,0.16000,
,,,-0.00000310000,0.16000,
,,,-0.00000309600,0.24000,
,,,-0.00000309200,0.16000,
,,,-0.00000308800,0.16000,
,,,-0.00000308400,0.16000,
,,,-0.00000308000,0.08000,
,,,-0.00000307600,0.00,
,,,-0.00000307200,0.00,
,,,-0.00000306800,0.00,
,,,-0.00000306400,0.08000,
,,,-0.00000306000,0.00,
,,,-0.00000305600,0.00,
,,,-0.00000305200,0.00,
,,,-0.00000304800,0.00,
,,,-0.00000304400,0.08000,
,,,-0.00000304000,0.08000,
,,,-0.00000303600,0.00,
,,,-0.00000303200,0.08000,
,,,-0.00000302800,0.00,
,,,-0.00000302400,0.08000,
,,,-0.00000302000,0.08000,
,,,-0.00000301600,0.00,
,,,-0.00000301200,0.00,
,,,-0.00000300800,0.00,
,,,-0.00000300400,0.08000,
,,,-0.00000300000,0.00,
,,,-0.00000299600,0.00,
,,,-0.00000299200,0.00,
,,,-0.00000298800,0.08000,
,,,-0.00000298400,0.16000,
,,,-0.00000298000,0.08000,
,,,-0.00000297600,0.16000,
,,,-0.00000297200,0.08000,
,,,-0.00000296800,0.08000,
,,,-0.00000296400,0.08000,
,,,-0.00000296000,0.08000,
,,,-0.00000295600,0.00,
,,,-0.00000295200,0.08000,
,,,-0.00000294800,0.00,
,,,-0.00000294400,0.08000,
,,,-0.00000294000,0.08000,
,,,-0.00000293600,0.08000,
,,,-0.00000293200,0.08000,
,,,-0.00000292800,0.08000,
,,,-0.00000292400,0.24000,
,,,-0.00000292000,0.16000,
,,,-0.00000291600,0.24000,
,,,-0.00000291200,0.16000,
,,,-0.00000290800,0.16000,
,,,-0.00000290400,0.24000,
,,,-0.00000290000,0.16000,
,,,-0.00000289600,0.16000,
,,,-0.00000289200,0.16000,
,,,-0.00000288800,0.08000,
,,,-0.00000288400,0.16000,
,,,-0.00000288000,0.16000,
,,,-0.00000287600,0.16000,
,,,-0.00000287200,0.16000,
,,,-0.00000286800,0.16000,
,,,-0.00000286400,0.24000,
,,,-0.00000286000,0.16000,
,,,-0.00000285600,0.16000,
,,,-0.00000285200,0.08000,
,,,-0.00000284800,0.08000,
,,,-0.00000284400,0.16000,
,,,-0.00000284000,0.08000,
,,,-0.00000283600,0.16000,
,,,-0.00000283200,0.16000,
,,,-0.00000282800,0.16000,
,,,-0.00000282400,0.16000,
,,,-0.00000282000,0.16000,
